hand,board
"2s,6d","4d,Ah,7d,8h"
"9d,6c","9c,7c,6h,8c"
"3d,7h","4d,2h,8h,6d"
"Ah,Qd","3c,5c,Ac,Tc"
"Qs,8h","2d,3d,5d,3c,Kc"
"4d,Ad","9c,Tc,2d,Ah,3d"
"Qc,Jh","2h,6s,Js,6h"
"4h,3c","9h,2h,Js,6d"
"9h,9c","Ts,6s,2s,Th,Jd"
"Qd,Qc","5h,8s,6h,8d,2s"
"5s,5c","6h,Ah,7d,Ac"
"As,Ah","Th,Qh,6s,8h"
"7s,3s","Ts,8h,Jc,Qs,7d"
"6d,Th","8s,8d,Qh"
"Jd,4c","6s,2h,3c"
"Ad,8s","4s,Ah,6h"
"4s,6c","5c,Jd,4c,7h"
"8s,4h","7s,Ts,4c,9h"
"Qh,7c","Kc,8d,Qs"
"Jd,2s","8s,7c,8h"
"8h,Qd","Jd,2h,Kh,8d"
"Th,Ts","Ac,Kd,5h,Ah,7d"
"9c,5h","Ts,Qs,9h,Ad"
"Kd,3h","Js,7d,3c"
"Qh,Jh","Th,3d,6c,Jc"
"4c,8c","Ad,Td,Ah"
"Jc,6d","4s,Ac,Ah,2d"
"8d,Ah","8s,4s,Tc,3h"
"Kd,Jh","Qh,9c,7c,8c,Jc"
"9c,5h","9h,Js,2c,8d,6s"
"Jd,Kh","8h,Qh,5h,Js,Kc"
"9h,Qc","2s,Tc,Kh,3s"
"8c,7d","Td,6c,2h,Ts"
"Td,Kd","9h,8c,Ts,7s"
"Qd,Td","Kd,2d,8d,Tc,8s"
"Ah,Ad","Ac,Js,Td"
"5h,8c","9d,5s,Jd"
"Qs,Ah","Kc,5d,Jh,Ts,2s"
"6h,Ks","2h,Kc,5s,8s"
"8s,4c","Qd,Ah,9d,9s"
"2d,7s","Jc,7d,Js,Jh"
"Td,Jc","2c,9d,9h"
"3c,9s","Kd,8s,Th,4h"
"Jc,Ts","7d,Tc,Th"
"6h,Js","Jd,Ad,2c"
"Qd,5d","9h,Qh,8s,3c,5c"
"3c,6h","2h,4h,2c,Ts,Qs"
"Ac,6s","5h,2c,3c,Kc"
"6h,Kd","8s,4s,3d,7c,Tc"
"4h,Td","3s,Kh,4c,4d"
"Tc,Kd","Qd,Jd,Td"
"6d,Ah","8h,Kh,5h,6h"
"8c,9s","2d,6d,5h,3s"
"Jh,8s","5h,Jd,6h,5s"
"Qh,Kh","Qs,Ks,Qc,5c"
"8s,7d","Kd,Qd,8c,9h"
"Ks,9s","Qc,9c,8s,3d"
"Qh,Jd","3s,3c,7h"
"2s,4h","9d,Kc,3d,Qc"
"Kd,6c","Jc,Qs,4s"
"Td,4d","Kd,8d,As"
"6c,9s","3h,Td,9c,2s"
"2c,6c","4s,5s,9d"
"8h,7d","2s,Ac,5s"
"2d,3c","3h,Ac,8h"
"Jd,3c","3d,7h,4h,Qd,8s"
"Kh,Ac","9h,6c,3d"
"6c,4s","3d,Ks,Ac"
"Kh,8c","3s,9c,6c,5c"
"Kd,Td","9h,Qd,Tc"
"2d,3c","Ad,7c,5d,Qc,6h"
"Qh,Ad","8d,7c,6d,6c"
